"longitude","latitude","elev_dif"
91.5,80.5,2.85349391080025
92.5,80.5,14.8725738663181
93.5,80.5,56.1721269772129
94.5,80.5,74.1259670378123
95.5,80.5,62.4272581007746
96.5,80.5,55.2804724322115
97.5,80.5,41.0498829195502
98.5,80.5,0.335499132542787
-105.5,79.5,2.13445314451787
-104.5,79.5,5.85466581078557
-103.5,79.5,5.45739147253335
-102.5,79.5,2.70950957708475
-99.5,79.5,7.6505469572213
-98.5,79.5,2.59257809114125
-96.5,79.5,6.02532988085618
-95.5,79.5,60.7479464702701
-94.5,79.5,117.992452359378
-93.5,79.5,202.866821823166
-92.5,79.5,198.208852141339
-91.5,79.5,247.595518668493
-90.5,79.5,252.786757045322
-89.5,79.5,270.38060537974
-88.5,79.5,188.108978377448
-87.5,79.5,190.083056331198
-86.5,79.5,82.6122492059318
-85.5,79.5,69.8210844855963
-84.5,79.5,90.7264022553176
-83.5,79.5,163.605012125439
-82.5,79.5,235.301254915355
-81.5,79.5,188.456384517135
-80.5,79.5,280.804904513889
-79.5,79.5,271.941355069478
-78.5,79.5,320.924223475986
-77.5,79.5,267.837437164452
-76.5,79.5,259.974368309809
-75.5,79.5,250.098687245976
-74.5,79.5,216.01096750325
-73.5,79.5,129.648735413535
-72.5,79.5,125.673368732031
-71.5,79.5,96.9772092762093
-68.5,79.5,7.9403645602029
-67.5,79.5,7.99773431830949
-66.5,79.5,9.74270824247247
-65.5,79.5,28.3227987497165
-64.5,79.5,58.7749180528335
-63.5,79.5,57.5007173750136
-62.5,79.5,46.1669716305203
-61.5,79.5,52.5566747453478
-60.5,79.5,41.1103714836968
-59.5,79.5,28.8684582180447
-58.5,79.5,27.8493152194553
-57.5,79.5,28.0770212809245
-56.5,79.5,26.3020672268338
-55.5,79.5,24.1682646009657
-54.5,79.5,21.8742302788628
-53.5,79.5,19.539540608724
-52.5,79.5,16.9240485297309
-51.5,79.5,15.0376374986437
-50.5,79.5,14.082767062717
-49.5,79.5,13.0019209120009
-48.5,79.5,12.618401421441
-47.5,79.5,12.8399539523655
-46.5,79.5,12.586296081543
-45.5,79.5,11.9549340142144
-44.5,79.5,11.1765933566623
-43.5,79.5,10.1753234863281
-42.5,79.5,8.67347378200955
-41.5,79.5,8.14495680067274
-40.5,79.5,8.16858249240451
-39.5,79.5,8.09653727213542
-38.5,79.5,7.92109002007378
-37.5,79.5,7.52342987060547
-36.5,79.5,6.77801598442925
-35.5,79.5,6.14000532362196
-34.5,79.5,5.53419240315755
-33.5,79.5,5.34649658203125
-32.5,79.5,6.02113172743056
-31.5,79.5,7.2981194390191
-30.5,79.5,9.99278683132595
-29.5,79.5,11.5182189941406
-28.5,79.5,14.9322831895616
-27.5,79.5,15.6913138495551
-26.5,79.5,17.1928855048286
-25.5,79.5,17.5790769788954
-24.5,79.5,30.5008313920763
-23.5,79.5,71.8631253507402
-22.5,79.5,78.8577217790816
-21.5,79.5,144.335619423125
-20.5,79.5,121.141918364912
-19.5,79.5,139.231731505754
-18.5,79.5,51.593676192576
11.5,79.5,124.497415020565
12.5,79.5,174.836544524167
13.5,79.5,135.324404618814
14.5,79.5,252.255059851851
15.5,79.5,152.747661304051
16.5,79.5,223.330749568115
17.5,79.5,162.836323424249
18.5,79.5,120.263515081552
19.5,79.5,64.0536241257861
20.5,79.5,80.6245188658488
21.5,79.5,73.6148348516112
22.5,79.5,56.5140614687569
