"longitude","latitude","seasonal_low_temp","cold_dormancy_6mo","hot_dormancy_6mo","low_at_min_elev","low_elev_x_cold_dormancy","low_elev_x_hot_dormancy"
-172.5,60.5,-15.9864634171128,-9.78385627124725,-9.78385627124725,-15.9611619131171,-9.75855476725157,-9.75855476725157
-172.5,64.5,-21.5810383177762,-11.8658178361044,-11.8658178361044,-21.3279296547494,-11.6127091730776,-11.6127091730776
-172.5,65.5,-26.062887261595,-13.0264694235687,-13.0264694235687,-25.5898357204431,-12.5534178824168,-12.5534178824168
-172.5,66.5,-30.752234487475,-15.929264703832,-15.929264703832,-30.0785444547661,-15.2555746711231,-15.2555746711231
-171.5,-89.5,-60.9584414890834,-59.1011368202312,-59.1011368202312,-60.9584414890834,-59.1011368202312,-59.1011368202312
-171.5,-88.5,-60.8475539160626,-59.1152074922475,-59.1152074922475,-60.8475539160626,-59.1152074922475,-59.1152074922475
-171.5,-87.5,-57.0668397952403,-55.4324054734515,-55.4324054734515,-57.0668397952403,-55.4324054734515,-55.4324054734515
-171.5,-86.5,-52.2252934400524,-50.64432343037,-50.64432343037,-52.2252934400524,-50.64432343037,-50.64432343037
-171.5,-85.5,-53.4481786446912,-51.8583411103913,-51.8583411103913,-53.4481786446912,-51.8583411103913,-51.8583411103913
-171.5,-84.5,-33.4491669056671,-31.8225553113701,-31.8225553113701,-33.4491669056671,-31.8225553113701,-31.8225553113701
-171.5,-83.5,-34.1916968790781,-32.3544520877568,-32.3544520877568,-34.1916968790781,-32.3544520877568,-32.3544520877568
-171.5,-82.5,-36.8211522726076,-34.7522101764168,-34.7522101764168,-36.8211522726076,-34.7522101764168,-34.7522101764168
-171.5,-81.5,-37.8387092958604,-35.5726976906615,-35.5726976906615,-37.8387092958604,-35.5726976906615,-35.5726976906615
-171.5,-80.5,-38.1219902555483,-35.5890749131462,-35.5890749131462,-38.1219902555483,-35.5890749131462,-35.5890749131462
-171.5,-79.5,-36.9906446863498,-34.293666092333,-34.293666092333,-36.9906446863498,-34.293666092333,-34.293666092333
-171.5,-78.5,-36.9914093527411,-34.1284579931625,-34.1284579931625,-36.9914093527411,-34.1284579931625,-34.1284579931625
-171.5,-13.5,18.2178952221892,18.5608422020771,18.5608422020771,18.3370117568357,18.6799587367236,18.6799587367236
-171.5,63.5,-20.6572469843285,-11.8159462142397,-11.8159462142397,-20.5828664066173,-11.7415656365285,-11.7415656365285
-171.5,65.5,-24.5150077234421,-13.0266666341396,-13.0266666341396,-24.0239575296986,-12.5356164403961,-12.5356164403961
-171.5,66.5,-29.2246634594032,-15.5058033951691,-15.5058033951691,-28.6188721674687,-14.9000121032346,-14.9000121032346
-170.5,-89.5,-60.9383545406163,-59.0805790625513,-59.0805790625513,-60.9383545406163,-59.0805790625513,-59.0805790625513
-170.5,-88.5,-60.8231678659362,-59.090679443142,-59.090679443142,-60.8231678659362,-59.090679443142,-59.090679443142
-170.5,-87.5,-56.8476692233767,-55.2135965117919,-55.2135965117919,-56.8476692233767,-55.2135965117919,-55.2135965117919
-170.5,-86.5,-51.4098028645984,-49.8281594572589,-49.8281594572589,-51.4098028645984,-49.8281594572589,-49.8281594572589
-170.5,-85.5,-50.1911164694067,-48.6055529288948,-48.6055529288948,-50.1911164694067,-48.6055529288948,-48.6055529288948
-170.5,-84.5,-33.1202693703983,-31.5312683139994,-31.5312683139994,-33.1202693703983,-31.5312683139994,-31.5312683139994
-170.5,-83.5,-33.9566853111061,-32.1576973766621,-32.1576973766621,-33.9566853111061,-32.1576973766621,-32.1576973766621
-170.5,-82.5,-36.5546963851367,-34.5196626209255,-34.5196626209255,-36.5546963851367,-34.5196626209255,-34.5196626209255
-170.5,-81.5,-37.6510000806501,-35.3611209535173,-35.3611209535173,-37.6510000806501,-35.3611209535173,-35.3611209535173
